"Período de tempo","Atividades","Distância total","Distância média","Distância máxima","Tempo total de atividade","Tempo em movimento","Tempo médio","Tempo máximo","Total de percursos","Tempo de escalada","Total de subida na rota","Máximo de subida na rota","Percursos tentados","Percursos concluídos","Concluídas sem quedas","Quedas","Calorias na atividade","Subida total","Média da subida","Subida máxima","Descida total","Média da descida","Descida máxima","Velocidade média","Velocidade máxima","Ritmo médio","Ritmo médio ajustado por inclinação","Melhor ritmo","Frequência cardíaca média","Frequência cardíaca máxima","Cadência média de corrida","Cadência de corrida máxima","Cadência média de bicicleta","Cadência de bicicleta máxima","Potência média","Energia máxima","Oscilação vertical","Tempo de contato com o solo","Comprimento média de passos","Média de estresse","Cadência média","Cadência máxima","Tempo total de descanso","Tempo total"
"Jun 2022","4","59.82 km","14.96 km","28.41 km","5:46:46 h:m:s","5:44:53 h:m:s","1:26:41 h:m:s","2:33:52 h:m:s","--","--","--","--","--","--","--","--","4,472","712 m","237 m","441 m","748 m","249 m","437 m","10.4 km/h","234.5 km/h","5:48 /km","--","0:15 /km","154 bpm","182 bpm","166 ppm","176 ppm","--","--","--","--","--","--","1.02 m","--","--","--","--","5:46:46 h:m:s"
"Maio 2022","30","245.28 km","8.18 km","36.01 km","21:57:00 h:m:s","19:03:53 h:m:s","43:54 h:m:s","3:13:24 h:m:s","--","--","--","--","--","--","--","--","15,201","2,740 m","98 m","480 m","2,690 m","134 m","471 m","11.2 km/h","235.0 km/h","5:22 /km","--","0:15 /km","135 bpm","201 bpm","172 ppm","194 ppm","--","--","--","--","--","--","1.20 m","--","--","--","--","21:57:00 h:m:s"
"Abr 2022","24","188.01 km","7.83 km","40.01 km","18:28:36 h:m:s","18:19:12 h:m:s","46:11 h:m:s","4:36:43 h:m:s","--","--","--","--","--","--","--","--","13,610","2,547 m","106 m","580 m","2,483 m","155 m","568 m","10.2 km/h","235.8 km/h","5:54 /km","--","0:15 /km","131 bpm","205 bpm","167 ppm","246 ppm","--","--","--","--","--","--","1.23 m","--","--","--","--","18:28:36 h:m:s"
"Mar 2022","25","146.87 km","5.87 km","35.01 km","14:33:18 h:m:s","14:28:53 h:m:s","34:56 h:m:s","4:06:12 h:m:s","--","--","--","--","--","--","--","--","10,581","2,513 m","105 m","654 m","2,309 m","257 m","643 m","10.1 km/h","235.9 km/h","5:57 /km","--","0:15 /km","137 bpm","208 bpm","174 ppm","248 ppm","--","--","--","--","--","--","1.25 m","--","--","--","--","14:33:18 h:m:s"
"Fev 2022","15","160.74 km","10.72 km","20.03 km","17:39:04 h:m:s","16:12:16 h:m:s","1:10:36 h:m:s","2:06:39 h:m:s","--","--","--","--","--","--","--","--","10,596","2,299 m","153 m","329 m","2,301 m","153 m","330 m","9.1 km/h","235.5 km/h","6:35 /km","--","0:15 /km","135 bpm","187 bpm","159 ppm","238 ppm","--","--","--","--","--","--","0.97 m","--","--","--","--","17:39:04 h:m:s"
"Jan 2022","13","213.21 km","16.40 km","35.66 km","20:45:23 h:m:s","20:37:32 h:m:s","1:35:48 h:m:s","3:55:22 h:m:s","--","--","--","--","--","--","--","--","14,478","4,065 m","313 m","997 m","4,065 m","313 m","998 m","10.3 km/h","235.4 km/h","5:50 /km","--","0:15 /km","150 bpm","208 bpm","163 ppm","248 ppm","--","--","--","--","--","--","1.04 m","--","--","--","--","20:45:23 h:m:s"
"Dez 2021","11","234.23 km","21.29 km","133.53 km","32:12:53 h:m:s","12:08:43 h:m:s","2:55:43 h:m:s","20:04:44 h:m:s","--","--","--","--","--","--","--","--","9,313","1,436 m","131 m","227 m","1,589 m","144 m","225 m","7.3 km/h","235.5 km/h","8:15 /km","--","0:15 /km","146 bpm","191 bpm","157 ppm","248 ppm","--","--","--","--","--","--","0.94 m","--","--","--","--","32:12:53 h:m:s"
"Nov 2021","17","242.98 km","14.29 km","45.01 km","24:19:35 h:m:s","23:59:24 h:m:s","1:25:51 h:m:s","5:04:24 h:m:s","--","--","--","--","--","--","--","--","14,346","3,721 m","219 m","649 m","3,808 m","224 m","732 m","10.0 km/h","234.7 km/h","6:00 /km","--","0:15 /km","131 bpm","191 bpm","165 ppm","248 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","24:19:35 h:m:s"
"Out 2021","13","225.90 km","17.38 km","59.00 km","25:24:29 h:m:s","25:17:08 h:m:s","1:57:16 h:m:s","7:35:03 h:m:s","--","--","--","--","--","--","--","--","15,252","3,653 m","281 m","994 m","3,631 m","279 m","1,002 m","8.9 km/h","234.6 km/h","6:45 /km","--","0:15 /km","130 bpm","196 bpm","155 ppm","248 ppm","--","--","--","--","--","--","0.98 m","--","--","--","--","25:24:29 h:m:s"
"Set 2021","15","225.23 km","15.02 km","47.01 km","22:29:31 h:m:s","22:25:42 h:m:s","1:29:58 h:m:s","5:29:36 h:m:s","--","--","--","--","--","--","--","--","13,988","3,373 m","225 m","708 m","3,226 m","215 m","708 m","10.0 km/h","231.7 km/h","6:00 /km","--","0:16 /km","130 bpm","187 bpm","165 ppm","248 ppm","--","--","--","--","--","--","1.04 m","--","--","--","--","22:29:31 h:m:s"
"Ago 2021","16","234.08 km","14.63 km","36.01 km","25:06:07 h:m:s","24:38:30 h:m:s","1:34:08 h:m:s","3:39:06 h:m:s","--","--","--","--","--","--","--","--","14,227","3,568 m","238 m","520 m","3,618 m","241 m","529 m","9.3 km/h","234.3 km/h","6:26 /km","--","0:15 /km","128 bpm","183 bpm","160 ppm","248 ppm","--","--","--","--","--","--","0.98 m","--","--","--","--","25:06:07 h:m:s"
"Jul 2021","11","173.96 km","15.81 km","43.70 km","14:51:50 h:m:s","14:36:55 h:m:s","1:21:05 h:m:s","2:53:08 h:m:s","--","--","--","--","--","--","--","--","8,195","2,602 m","260 m","642 m","2,523 m","252 m","638 m","11.7 km/h","234.9 km/h","5:08 /km","--","0:15 /km","130 bpm","178 bpm","160 ppm","248 ppm","--","--","--","--","--","--","1.01 m","--","--","--","--","14:51:50 h:m:s"
"Jun 2021","14","181.59 km","12.97 km","24.02 km","19:49:56 h:m:s","19:42:29 h:m:s","1:25:00 h:m:s","4:02:53 h:m:s","--","--","--","--","--","--","--","--","12,276","2,750 m","196 m","550 m","2,757 m","197 m","551 m","9.2 km/h","181.7 km/h","6:33 /km","--","0:20 /km","133 bpm","189 bpm","156 ppm","248 ppm","--","--","--","--","--","--","0.98 m","--","--","--","--","19:49:56 h:m:s"
"Maio 2021","14","120.26 km","8.59 km","16.01 km","18:05:54 h:m:s","13:20:59 h:m:s","1:17:34 h:m:s","3:53:50 h:m:s","--","--","--","--","--","--","--","--","8,350","1,721 m","143 m","235 m","1,769 m","147 m","228 m","6.6 km/h","227.7 km/h","9:02 /km","--","0:16 /km","120 bpm","183 bpm","151 ppm","248 ppm","--","--","--","--","--","--","0.85 m","--","--","--","--","18:05:54 h:m:s"
"Abr 2021","30","630.54 km","21.02 km","21.09 km","66:12:30 h:m:s","66:06:32 h:m:s","2:12:25 h:m:s","2:19:39 h:m:s","--","--","--","--","--","--","--","--","35,965","7,927 m","264 m","378 m","7,981 m","266 m","375 m","9.5 km/h","234.5 km/h","6:18 /km","--","0:15 /km","131 bpm","208 bpm","164 ppm","178 ppm","--","--","--","--","--","--","0.97 m","--","--","--","--","66:12:30 h:m:s"
"Mar 2021","18","258.92 km","14.38 km","35.51 km","25:02:27 h:m:s","23:02:57 h:m:s","1:23:28 h:m:s","3:34:00 h:m:s","--","--","--","--","--","--","--","--","13,976","3,668 m","204 m","406 m","3,633 m","202 m","409 m","10.3 km/h","230.1 km/h","5:48 /km","--","0:16 /km","130 bpm","187 bpm","163 ppm","248 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","25:02:27 h:m:s"
"Fev 2021","18","218.08 km","12.12 km","39.29 km","21:35:01 h:m:s","20:08:53 h:m:s","1:11:57 h:m:s","3:29:35 h:m:s","--","--","--","--","--","--","--","--","12,024","3,487 m","194 m","654 m","3,594 m","200 m","652 m","10.1 km/h","231.5 km/h","5:56 /km","--","0:16 /km","124 bpm","194 bpm","161 ppm","224 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","21:35:01 h:m:s"
"Jan 2021","14","174.57 km","12.47 km","19.02 km","20:02:11 h:m:s","17:35:51 h:m:s","1:25:52 h:m:s","3:39:01 h:m:s","--","--","--","--","--","--","--","--","11,234","3,164 m","243 m","639 m","3,331 m","256 m","636 m","8.7 km/h","222.6 km/h","6:53 /km","--","0:16 /km","131 bpm","192 bpm","159 ppm","248 ppm","--","--","--","--","--","--","1.00 m","--","--","--","--","20:02:11 h:m:s"
"Dez 2020","12","208.95 km","17.41 km","88.88 km","31:38:46 h:m:s","28:13:21 h:m:s","2:38:14 h:m:s","13:17:12 h:m:s","--","--","--","--","--","--","--","--","12,733","1,871 m","208 m","1,099 m","1,859 m","207 m","1,054 m","6.6 km/h","232.7 km/h","9:05 /km","--","0:15 /km","128 bpm","174 bpm","154 ppm","248 ppm","--","--","--","--","--","--","0.89 m","--","--","--","--","31:38:46 h:m:s"
"Nov 2020","16","284.12 km","17.76 km","51.50 km","38:56:07 h:m:s","32:45:59 h:m:s","2:26:00 h:m:s","14:53:29 h:m:s","--","--","--","--","--","--","--","--","17,375","3,682 m","245 m","887 m","3,744 m","250 m","871 m","7.3 km/h","231.9 km/h","8:13 /km","--","0:16 /km","135 bpm","196 bpm","160 ppm","248 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","38:56:07 h:m:s"
