"Período de tempo","Atividades","Distância total","Distância média","Distância máxima","Tempo total de atividade","Tempo em movimento","Tempo médio","Tempo máximo","Total de percursos","Tempo de escalada","Total de subida na rota","Máximo de subida na rota","Percursos tentados","Percursos concluídos","Concluídas sem quedas","Quedas","Calorias na atividade","Subida total","Média da subida","Subida máxima","Descida total","Média da descida","Descida máxima","Velocidade média","Velocidade máxima","Ritmo médio","Ritmo médio ajustado por inclinação","Melhor ritmo","Frequência cardíaca média","Frequência cardíaca máxima","Cadência média de corrida","Cadência de corrida máxima","Cadência média de bicicleta","Cadência de bicicleta máxima","Potência média","Energia máxima","Oscilação vertical","Tempo de contato com o solo","Comprimento média de passos","Média de estresse","Cadência média","Cadência máxima","Tempo total de descanso","Tempo total"
"06/05/2022","2","21.38 km","10.69 km","11.37 km","2:11:47 h:m:s","2:10:28 h:m:s","1:05:54 h:m:s","1:07:54 h:m:s","--","--","--","--","--","--","--","--","1,791","272 m","136 m","141 m","311 m","155 m","168 m","9.7 km/h","234.5 km/h","6:10 /km","--","0:15 /km","164 bpm","182 bpm","166 ppm","176 ppm","--","--","--","--","--","--","0.98 m","--","--","--","--","2:11:47 h:m:s"
"05/29/2022","4","62.47 km","15.62 km","28.41 km","5:50:52 h:m:s","5:49:45 h:m:s","1:27:43 h:m:s","2:33:52 h:m:s","--","--","--","--","--","--","--","--","4,518","697 m","349 m","441 m","698 m","349 m","437 m","10.7 km/h","17.2 km/h","5:37 /km","--","3:29 /km","149 bpm","182 bpm","166 ppm","178 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","5:50:52 h:m:s"
"05/22/2022","2","32.01 km","16.00 km","18.01 km","2:52:09 h:m:s","2:51:46 h:m:s","1:26:04 h:m:s","1:35:50 h:m:s","--","--","--","--","--","--","--","--","1,711","424 m","212 m","244 m","421 m","211 m","240 m","11.2 km/h","19.2 km/h","5:23 /km","--","3:08 /km","136 bpm","172 bpm","170 ppm","194 ppm","--","--","--","--","--","--","1.09 m","--","--","--","--","2:52:09 h:m:s"
"05/15/2022","4","73.38 km","18.34 km","36.01 km","6:23:52 h:m:s","6:23:10 h:m:s","1:35:58 h:m:s","3:13:24 h:m:s","--","--","--","--","--","--","--","--","5,297","1,000 m","250 m","480 m","986 m","247 m","471 m","11.5 km/h","234.4 km/h","5:14 /km","--","0:15 /km","162 bpm","201 bpm","171 ppm","182 ppm","--","--","--","--","--","--","1.14 m","--","--","--","--","6:23:52 h:m:s"
"05/08/2022","4","66.29 km","16.57 km","32.26 km","6:02:37 h:m:s","3:12:58 h:m:s","1:30:39 h:m:s","2:49:33 h:m:s","--","--","--","--","--","--","--","--","2,620","474 m","158 m","168 m","478 m","159 m","165 m","11.0 km/h","214.8 km/h","5:28 /km","--","0:17 /km","108 bpm","175 bpm","170 ppm","180 ppm","--","--","--","--","--","--","0.95 m","--","--","--","--","6:02:37 h:m:s"
"05/01/2022","18","49.58 km","2.75 km","28.01 km","4:22:28 h:m:s","4:20:40 h:m:s","14:35 h:m:s","2:25:43 h:m:s","--","--","--","--","--","--","--","--","3,736","586 m","33 m","338 m","543 m","54 m","330 m","11.3 km/h","235.0 km/h","5:18 /km","--","0:15 /km","132 bpm","185 bpm","174 ppm","182 ppm","--","--","--","--","--","--","1.30 m","--","--","--","--","4:22:28 h:m:s"
"04/24/2022","4","56.12 km","14.03 km","21.10 km","5:00:35 h:m:s","4:59:49 h:m:s","1:15:09 h:m:s","1:50:08 h:m:s","--","--","--","--","--","--","--","--","3,991","711 m","178 m","265 m","706 m","177 m","256 m","11.2 km/h","235.8 km/h","5:21 /km","--","0:15 /km","142 bpm","172 bpm","167 ppm","178 ppm","--","--","--","--","--","--","1.09 m","--","--","--","--","5:00:35 h:m:s"
"04/17/2022","13","33.07 km","2.54 km","15.02 km","2:50:25 h:m:s","2:49:55 h:m:s","13:07 h:m:s","1:26:45 h:m:s","--","--","--","--","--","--","--","--","2,386","488 m","38 m","218 m","440 m","88 m","219 m","11.6 km/h","112.0 km/h","5:09 /km","--","0:32 /km","128 bpm","187 bpm","176 ppm","188 ppm","--","--","--","--","--","--","1.41 m","--","--","--","--","2:50:25 h:m:s"
"04/10/2022","3","15.04 km","5.01 km","9.01 km","2:08:01 h:m:s","2:07:26 h:m:s","42:40 h:m:s","52:57 h:m:s","--","--","--","--","--","--","--","--","1,105","204 m","68 m","104 m","186 m","62 m","91 m","7.0 km/h","44.4 km/h","8:31 /km","--","1:21 /km","128 bpm","187 bpm","131 ppm","226 ppm","--","--","--","--","--","--","0.81 m","--","--","--","--","2:08:01 h:m:s"
"04/03/2022","3","62.69 km","20.90 km","40.01 km","6:43:49 h:m:s","6:36:26 h:m:s","2:14:36 h:m:s","4:36:43 h:m:s","--","--","--","--","--","--","--","--","4,500","875 m","292 m","580 m","876 m","292 m","568 m","9.3 km/h","228.5 km/h","6:27 /km","--","0:16 /km","124 bpm","205 bpm","162 ppm","246 ppm","--","--","--","--","--","--","0.97 m","--","--","--","--","6:43:49 h:m:s"
"03/27/2022","2","33.11 km","16.55 km","21.10 km","2:56:31 h:m:s","2:56:06 h:m:s","1:28:16 h:m:s","1:45:46 h:m:s","--","--","--","--","--","--","--","--","2,503","410 m","205 m","268 m","417 m","208 m","275 m","11.3 km/h","231.0 km/h","5:20 /km","--","0:16 /km","162 bpm","184 bpm","167 ppm","178 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","2:56:31 h:m:s"
"03/20/2022","3","52.22 km","17.41 km","35.01 km","5:45:53 h:m:s","5:45:02 h:m:s","1:55:18 h:m:s","4:06:12 h:m:s","--","--","--","--","--","--","--","--","4,112","822 m","411 m","654 m","810 m","405 m","643 m","9.1 km/h","231.2 km/h","6:37 /km","--","0:16 /km","154 bpm","208 bpm","165 ppm","242 ppm","--","--","--","--","--","--","1.00 m","--","--","--","--","5:45:53 h:m:s"
"03/13/2022","17","16.25 km","0.96 km","10.01 km","1:28:52 h:m:s","1:27:44 h:m:s","5:13.6 h:m:s","1:00:15 h:m:s","--","--","--","--","--","--","--","--","1,123","383 m","23 m","133 m","180 m","90 m","133 m","11.0 km/h","235.9 km/h","5:28 /km","--","0:15 /km","127 bpm","189 bpm","177 ppm","190 ppm","--","--","--","--","--","--","1.36 m","--","--","--","--","1:28:52 h:m:s"
